"id";"year";"content";"number";"hassorted"
1;1784;"自1784年美国商船“中国皇后”号循南中国海到达广州,中美就在南海结下“不解之缘”。";"753";1
2;1842;"美国先于1835年勘探了西沙群岛,后于1842年勘察了南沙群岛。";"336";2
3;1898;"法国对南海的侵犯始于1898年越南殖民政府在西沙建立渔货供应站的企图。";"334";3
4;1901;"日本对南海诸岛的侵犯始于1901年日本商人西泽吉次窃取东沙鸟粪。";"335";4
5;1905;"越南外交学院外交与战略研究所的黄英俊(HoangAnhTun)指出,新近发现的1905年的清朝版图中,并没有包括西沙群岛和南沙群岛。";"112";5
6;1905;"1904、1905年,清政府两次修订《大清天下中华名省府州县厅地理全图》,将代表东沙、西沙群岛的“万里长沙”和代表中沙、南沙群岛和“万里石塘”以“府”的图例标记列入中国版图。";"343";6
7;1925;"1879年版《中国海目录》和1925年版《亚洲航海》都表示太平岛上的水质比其他地方的都要好。";"304";7
8;1929;"包括宋朝和清朝的渔民航海日记中记载的在太平岛上最早的人类活动；世界各地的文件、研究以及调查中关于太平岛上人类活动的记录；1879年版《中国海指南》和1925年版《亚洲航海》把太平岛作为航行据点；清朝开始有人居住太平岛,在太平岛上有墓地、墓碑为证；日本ＲosaPhosphate公司1921-1929年在太平岛上开采鸟粪石等。";"303";8
9;1931;"1931年法国致函中国驻巴黎公使馆,宣称对西沙拥有主权。";"338";9
10;1933;"1930、1932、1933年,法国殖民者先后武力强占南沙南威岛、西沙永兴岛,以及南沙安婆沙洲、双子岛、太平岛、南钥岛、中业岛等多个岛屿和岩礁,摧毁了岛上原有的中国建筑,并赶走岛上的中国渔民。";"337";10
11;1933;"1933年,法国外交部发布占领南沙群岛的公告,将南沙划入越南巴地省管辖。";"340";11
12;1933;"1933年,日本首次宣称对南沙群岛拥有主权。";"341";12
13;1933;"1933年7月发生法国侵占南沙九个小岛(太平岛、南威岛、中业岛、南钥岛、安波沙洲、双子礁等)事件之后,中国官方和民间各界强烈抗议。";"852";13
14;1934;"其后,在1813—1934年间,英国人先后通过测量、调查、命名、勘探矿藏等方式进犯中国南海诸岛34次,侵犯活动遍及东沙、西沙、中沙、南沙四大群岛。";"333";14
15;1935;"“九小岛案”后,民国政府于1933年专门成立了“水陆地图审查委员会”,并于1934年公布了132个南海岛礁的中英地名,于1935年出版了《中国南海各岛屿图》。";"344";15
16;1935;"20世纪上半叶,在全球性的扩大海洋管辖权的历史背景下,中国“水陆地图审查委员会”详细列出了南海的岛、礁、滩、沙,对中、英文地名进行了审定,并于1935年4月出版了《中国南海岛屿图》,确定了中国最南疆域在北纬4度。";"819";16
17;1935;"1935年4月,中国政府水陆地图审查委员会出版的《中国南海岛屿图》,把曾母暗沙标绘在南海岛屿的最南端,大约北纬4度附近。";"826";17
18;1935;"1935年4月,该委员会出版的《水陆地图审查委员会会刊》第1期登载《中国南海各岛屿图》,明确标绘了南海诸岛,将曾姆滩(今曾母暗沙)标在接近北纬4度的位置上,表明中国政府认为其领土最南端至少应在北纬4度。";"853";18
19;1937;"1937年日本侵略军占据东沙。";"342";19
20;1938;"1932年与1938年,法国殖民政府先后两次宣布西沙归属越南承天省。";"339";20
21;1945;"1945年的《开罗宣言》和《波茨坦公告》等国际文件明确规定把被日本窃取的中国领土归还中国,其中即包括南海诸岛。";"127";21
22;1946;"1946年,中国政府派员赴南沙群岛接收,在岛上举行了接收仪式并立碑纪念。";"128";22
23;1946;"1946年,菲律宾基于安全理由首次提出占领南沙群岛的要求。";"146";23
24;1946;"1946年,中国从日本手中夺回被侵占的南海诸岛,并在岛上树立起主权碑。";"571";24
