cout,loc,type
914,中业岛,地点
150,南沙群岛,地点
183,太平岛,地点
144,礼乐滩,地点
647,羚羊礁,地点
304,太平岛,地点
919,南沙群岛,地点
35,黄岩岛,地点
365,万安滩,地点
918,西沙群岛,地点
803,南沙群岛,地点
300,南沙群岛,地点
864,南沙群岛,地点
760,西沙群岛,地点
79,黄岩岛,地点
683,南康暗沙,地点
26,美济礁,地点
710,中建岛,地点
790,渚碧礁,地点
285,礼乐滩,地点
832,黄岩岛,地点
768,南沙群岛,地点
557,礼乐滩,地点
104,中沙群岛,地点
53,黄岩岛,地点
147,南沙群岛,地点
672,礼乐滩,地点
852,南沙群岛,地点
915,礼乐滩,地点
4,南沙群岛,地点
555,南沙群岛,地点
846,南沙群岛,地点
905,南沙群岛,地点
112,南沙群岛,地点
305,太平岛,地点
461,南沙群岛,地点
359,西沙群岛,地点
628,西沙群岛,地点
783,中建岛,地点
22,西沙群岛,地点
159,南沙群岛,地点
691,簸箕礁,地点
895,西沙群岛,地点
660,南沙群岛,地点
334,西沙群岛,地点
576,中沙群岛,地点
188,南沙群岛,地点
230,南沙群岛,地点
183,南钥岛,地点
657,东沙群岛,地点
828,曾母暗沙,地点
892,南沙群岛,地点
683,北康暗沙,地点
694,弹丸礁,地点
896,南沙群岛,地点
104,黄岩岛,地点
461,万安滩,地点
337,南沙群岛,地点
283,礼乐滩,地点
852,中业岛,地点
685,南海礁,地点
314,南沙群岛,地点
325,南沙群岛,地点
667,南沙群岛,地点
223,南沙群岛,地点
333,东沙群岛,地点
343,西沙群岛,地点
844,黄岩岛,地点
377,美济礁,地点
788,西沙群岛,地点
695,弹丸礁,地点
306,中业岛,地点
338,西沙群岛,地点
244,南沙群岛,地点
919,西沙群岛,地点
190,礼乐滩,地点
82,西沙群岛,地点
661,南沙群岛,地点
549,南沙群岛,地点
337,永兴岛,地点
470,美济礁,地点
708,南沙群岛,地点
182,南沙群岛,地点
656,南岛,地点
670,礼乐滩,地点
444,南沙群岛,地点
142,南沙群岛,地点
908,南沙群岛,地点
339,西沙群岛,地点
337,南钥岛,地点
685,南乐暗沙,地点
186,南海礁,地点
783,永暑礁,地点
391,吉隆坡,地点
842,南沙群岛,地点
418,中沙群岛,地点
36,黄岩岛,地点
865,黄岩岛,地点
907,南沙群岛,地点
636,南沙群岛,地点
783,渚碧礁,地点
929,美济礁,地点
449,美济礁,地点
480,美济礁,地点
544,珊瑚礁,地点
827,曾母暗沙,地点
915,南沙群岛,地点
691,光星仔礁,地点
566,南沙群岛,地点
278,黄岩岛,地点
928,黄岩岛,地点
831,南沙群岛,地点
128,南沙群岛,地点
692,弹丸礁,地点
192,半月礁,地点
862,东岛,地点
576,永兴岛,地点
663,永兴岛,地点
490,南沙群岛,地点
864,黄岩岛,地点
651,南沙群岛,地点
341,南沙群岛,地点
373,河内,地点
166,南沙群岛,地点
873,礼乐滩,地点
918,中沙群岛,地点
141,南沙群岛,地点
91,美济礁,地点
695,南沙群岛,地点
545,礼乐滩,地点
183,南子礁,地点
652,西沙群岛,地点
830,南沙群岛,地点
809,西沙群岛,地点
330,南沙群岛,地点
542,西沙群岛,地点
549,弹丸礁,地点
647,甘泉岛,地点
337,南威岛,地点
407,黄岩岛,地点
446,赤瓜礁,地点
893,黄岩岛,地点
890,黄岩岛,地点
648,南沙群岛,地点
542,南沙群岛,地点
646,西沙群岛,地点
343,南沙群岛,地点
228,西沙群岛,地点
34,黄岩岛,地点
510,美济礁,地点
447,美济礁,地点
513,中沙群岛,地点
772,南沙群岛,地点
845,北康暗沙,地点
187,北子礁,地点
576,南沙群岛,地点
666,西沙群岛,地点
445,南沙群岛,地点
643,南沙群岛,地点
361,西沙群岛,地点
24,西沙群岛,地点
365,南沙群岛,地点
336,南沙群岛,地点
267,美济礁,地点
647,永兴岛,地点
219,南沙群岛,地点
369,美济礁,地点
684,南康暗沙,地点
226,南沙群岛,地点
853,曾母暗沙,地点
309,黄岩岛,地点
772,弹丸礁,地点
555,马欢岛,地点
476,美济礁,地点
772,光星仔礁,地点
465,美济礁,地点
306,黄岩岛,地点
810,黄岩岛,地点
243,黄岩岛,地点
897,南沙群岛,地点
894,西沙群岛,地点
368,南沙群岛,地点
675,弹丸礁,地点
330,赤瓜礁,地点
333,西沙群岛,地点
591,美济礁,地点
172,南沙群岛,地点
861,黄岩岛,地点
691,安渡滩,地点
289,黄岩岛,地点
275,黄岩岛,地点
202,南沙群岛,地点
104,南沙群岛,地点
511,永兴岛,地点
671,南沙群岛,地点
20,仁爱礁,地点
226,太平岛,地点
187,中业岛,地点
243,美济礁,地点
333,中沙群岛,地点
874,南沙群岛,地点
191,美济礁,地点
329,西沙群岛,地点
680,南沙群岛,地点
852,太平岛,地点
193,美济礁,地点
555,费信岛,地点
708,渚碧礁,地点
458,南沙群岛,地点
650,南沙群岛,地点
508,南沙群岛,地点
394,南沙群岛,地点
231,南沙群岛,地点
576,东门礁,地点
849,南通礁,地点
840,南沙群岛,地点
204,礼乐滩,地点
153,南沙群岛,地点
785,渚碧礁,地点
152,南沙群岛,地点
839,南沙群岛,地点
829,西沙群岛,地点
914,南沙群岛,地点
874,礼乐滩,地点
761,南沙群岛,地点
909,弹丸礁,地点
647,南沙群岛,地点
698,南沙群岛,地点
105,南沙群岛,地点
685,破浪礁,地点
871,南沙群岛,地点
664,曾母暗沙,地点
634,美济礁,地点
913,南沙群岛,地点
276,黄岩岛,地点
518,南沙群岛,地点
229,南沙群岛,地点
812,西沙群岛,地点
203,礼乐滩,地点
303,太平岛,地点
433,黄岩岛,地点
852,南钥岛,地点
916,南沙群岛,地点
146,南沙群岛,地点
811,南沙群岛,地点
825,南沙群岛,地点
680,西沙群岛,地点
6,美济礁,地点
684,北康暗沙,地点
645,西沙群岛,地点
833,南沙群岛,地点
95,南通礁,地点
659,南威岛,地点
143,南沙群岛,地点
512,西沙群岛,地点
27,南沙群岛,地点
928,南沙群岛,地点
