cout,loc,type
595,《宣言》,证据源形式
51,东亚峰会,证据源形式
746,《领海法》,证据源形式
538,《南海各方行为宣言》,证据源形式
825,《中华人民共和国政府关于领海的声明》,证据源形式
551,《南海九条断续线图》,证据源形式
37,《联合国海洋法公约》,证据源形式
268,《公约》,证据源形式
177,《准则》,证据源形式
43,东盟地区论坛,证据源形式
556,《南海各方行为宣言》,证据源形式
422,《公约》,证据源形式
251,《行为宣言》,证据源形式
153,“领海基线法案”(即第3046号法案),证据源形式
264,《马尼拉宣言》,证据源形式
728,《联合国海洋法公约》,证据源形式
247,菲美“2+2”战略对话,证据源形式
304,《亚洲航海》,证据源形式
211,《南海各方行为准则》,证据源形式
138,《公约》,证据源形式
63,东盟地区论坛,证据源形式
387,联合声明,证据源形式
55,日越战略对话,证据源形式
490,《东南亚友好合作条约》,证据源形式
719,《在南中国海协议区三方联合海洋地震工作协议》,证据源形式
107,《公约》,证据源形式
682,《南海各方行动宣言》,证据源形式
166,马里拉大学“南沙争端:远景与政策反应”论坛,证据源形式
422,《中华人民共和国与东盟国家首脑会晤联合声明》,证据源形式
70,东盟地区论坛,证据源形式
747,东亚峰会,证据源形式
121,《联合国海洋法公约》,证据源形式
538,《南海地区行为准则》,证据源形式
612,《南海各方行为宣言》,证据源形式
910,联合公报,证据源形式
196,《南海各方行为宣言》,证据源形式
215,《每日问询者报》,证据源形式
298,《关于菲律宾共和国所提南海仲裁案管辖权问题的立场文件》,证据源形式
178,东盟首脑峰会,证据源形式
760,出版的世界地图,证据源形式
923,划界方案,证据源形式
482,《东亚及太平洋地区安全战略》,证据源形式
68,《南海各方行为宣言》,证据源形式
606,《宣言》,证据源形式
371,《东南亚友好合作条约》,证据源形式
896,普通小学地理教科书（越南官方的教科书）,证据源形式
603,《东盟关于南海问题的宣言》,证据源形式
100,“南海地区行为准则”,证据源形式
80,《雅加达邮报》,证据源形式
138,《联合国海洋法公约》,证据源形式
529,“南中国海:二十一世纪亚洲安全合作的一个重要指标”座谈会,证据源形式
747,东盟地区论坛,证据源形式
199,《领海基线法》,证据源形式
364,《中华人民共和国领海及毗连区法》,证据源形式
48,《南海各方行为宣言》,证据源形式
401,第17次东盟地区论坛部长会议,证据源形式
765,新加坡第10届香格里拉对话,证据源形式
527,第九届国际战略研究所亚洲安全高峰会,证据源形式
594,《南海各方行为宣言》,证据源形式
99,联合公报,证据源形式
534,第四十三届东盟外长会议,证据源形式
748,《联合国海洋法公约》,证据源形式
106,照会,证据源形式
585,联合公报,证据源形式
151,断续国界线图,证据源形式
53,菲律宾领海基线法案,证据源形式
92,东盟地区论坛,证据源形式
179,“零号草案”,证据源形式
831,《旧金山对日和约》,证据源形式
326,《中华民国行政区域图》,证据源形式
198,《南海各方行为宣言》,证据源形式
422,《南海各方行为宣言》,证据源形式
551,《联合国海洋法公约》,证据源形式
467,《东南亚友好合作条约》,证据源形式
585,东盟柬埔寨峰会,证据源形式
202,附有南海U形线地图的照会,证据源形式
373,第六次东盟峰会,证据源形式
111,《关于西菲律宾海的通知与权力主张说明》,证据源形式
179,《联合国海洋法公约》,证据源形式
372,联合声明,证据源形式
426,《联合国海洋法公约》,证据源形式
137,《吉隆坡安全评论》,证据源形式
26,《联合国海洋法公约》,证据源形式
293,《公约》,证据源形式
766,《美国与东盟联合声明》,证据源形式
130,《南海各方行为宣言》,证据源形式
296,南海仲裁案法律专家座谈会,证据源形式
532,《澳大利亚人报》,证据源形式
103,“外大陆架划界案”,证据源形式
881,《南海各方行为宣言》,证据源形式
894,《关于领海的声明》,证据源形式
101,《公约》,证据源形式
121,《南海各方行为宣言》,证据源形式
149,海洋法公约草案,证据源形式
